Source,Words,Count
Twitter,google,13271
Twitter,apple,10130
Twitter,amazon,9554
Twitter,facebook,8367
Twitter,microsoft,7482
Twitter,music,1117
Twitter,store,910
Twitter,youtube,878
Twitter,twitter,862
Twitter,windows,674
CommonCrawl,microsoft,1557
CommonCrawl,google,1061
CommonCrawl,apple,1008
CommonCrawl,sharepoint,680
CommonCrawl,iphone,507
CommonCrawl,online,494
CommonCrawl,software,378
CommonCrawl,windows,365
CommonCrawl,amazon,263
CommonCrawl,facebook,234
NYT,facebook,1860
NYT,apple,1180
NYT,people,1149
NYT,amazon,1134
NYT,google,1075
NYT,percent,830
NYT,twitter,660
NYT,billion,603
NYT,users,596
NYT,online,528
